ragione_sociale,address,city,province,region,nation,cap_from_address,city_from_address,province_code_from_address,city_clean,province_clean,region_clean
MOHAMMADREZA GHADIRZADEH,,,,,Italia,,,,,,
DOTT. MARCO SARTORI,,,,,Italia,,,,,,
MP STUDIO DI MAZZOLI PAOLO,,,,,Italia,,,,,,
REPACI ROCCO ALESANDRO,,,,,Italia,,,,,,
MORENA CENA,,,,,Italia,,,,,,
VITO MIRIZIO,,,,,Italia,,,,,,
ELSA ZEN - COACHING & TRAINING,,,,,Italia,,,,,,
2KAPPA DI ROSSI SERENA,,,,,Italia,,,,,,
FLOR MED DI ORLANDI ADRIANO,,,,,Italia,,,,,,
LAZZARO VICTORIA,,,,,Italia,,,,,,
FA CAPITAL S.P.A.,RUE DU FOSSE' L-1536 L-1536 -  - LUSSEMBURGO (EE),,,,Italia,,LUSSEMBURGO,EE,Lussemburgo,,
BICKERT NORBERT,,,,,Italia,,,,,,
THE DREAMS ROOM DI FAVICCHIO SABRINA,,,,,Italia,,,,,,
DI GIOIA MAFALDA ROSA,- 71010 -  (),,,,Italia,,,,,,
IMPRESA EDILE DI MOHAMED WALID,,,,,Italia,,,,,,
RAVALLI- SRL IN LIQUIDZIONE,THROGMORTON STREET 29 - 20019 - LONDRA (EE),Londra,Ee,,Italia,20019,LONDRA,EE,Londra,Ee,
CRIK CROK DI ATZORI RICCARDO,,,,,Italia,,,,,,
STUDIO DENTISTICO DOTT. ANTONINO FIORINO,,,,,Italia,,,,,,
KULWINDER SINGH,,,,,Italia,,,,,,
ING. DOMENICO COSENTINO,,,,,Italia,,,,,,
ARMANDI MARIAROSA,,,,,Italia,,,,,,
CARTA GIOVANNI BATTISTA,,,,,Italia,,,,,,
AZIENDA AGRICOLA GIGANTE BUONO DI CRISTINA MARINO,,,,,Italia,,,,,,
TECNO-ALMI,,,,,Italia,,,,,,
E.C. EURO CANTIERI S.R.L.,VIA DEALULUI 26 -  - DUDESTII NOI - TIMIS (),,,,Italia,,DUDESTII NOI - TIMIS,,Dudestii Noi - Timis,,
