var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,target
,,71.08607419505233,0.007284163589653463,47.109484705052424,1322.3111271097514,,-174.26629702667498,-678.1595870215821,-273.88966005096665,val_3,val_3,val_3,val_1,val_1,dc12d,4c8db,e62e2,cfcb8,d34b0,,-1.0523518
,-224.62071789368025,,0.0077443293881773,-0.0760090457280818,3915.768233690043,,-16.49048461171362,-232.795611017124,188.108128460895,val_2,val_7,val_0,val_0,val_1,dc12d,f1bdb,e62e2,2fa6e,2adde,,-1.4775221
0.0235001039757402,306.374046780458,,0.0055584219420543,7.110973756008584,-1733.03898341055,,38.97000082836214,0.3926576811169758,70.28805000279888,,val_2,val_2,,val_1,8cf49,,1da64,8a3e2,2ea90,,-1.430001
,,4333.222246661113,0.0118523593388151,-15.727446587564708,-3388.4618534478054,,77.30923447890979,,-109.0329181246972,val_1,val_6,val_2,val_1,val_2,8cf49,,d73de,8a3e2,d34b0,,0.85281897
,,,0.0075839044270507,-5.37390727972528,3060.0140812899867,,94.68476475058078,-45.91670737733609,-19.217712927051885,val_5,val_4,val_0,val_0,val_2,de4bc,f1bdb,e62e2,8a3e2,7ef86,,0.48444602
,,-401.1654941794708,0.0003755402227503,9.09900945179248,799.6491081764093,,25.719429068255454,,7.640440314207285,val_5,val_1,val_2,val_0,val_2,de4bc,3e294,1da64,2fa6e,2adde,,0.51301867
,,4860.603574858424,0.01307310279666,-16.365856999724205,-3554.6740200055724,,68.18253334754179,493.5882117251862,164.4354809520147,val_5,val_7,val_0,val_0,val_2,571c0,,e62e2,2fa6e,2ea90,548bc,1.0675583
0.1647529914364596,315.61898316214393,,0.012782752603468,-15.885105116525564,-3516.78888131765,0.0389546300968668,77.9020034637433,,3.336795869377987,val_0,val_6,val_3,val_0,val_2,571c0,,1da64,2fa6e,d34b0,,1.3455536
-0.0792009564140327,-563.4069714583391,2934.759395480802,0.0105671384422719,8.76769949582677,2148.6091280631917,,22.375884781245865,14.132047345959634,-88.91418235908401,val_4,val_3,val_0,val_2,val_2,8cf49,,d73de,2fa6e,2adde,,-0.6515312
,-59.573062503726526,,-0.0020205802818903,-0.1089327270589284,2043.1645582566637,-0.1588153757740483,72.57701482915623,,-46.260148929494456,val_1,val_3,val_0,val_0,val_1,de4bc,,1da64,8a3e2,39575,,0.46918157
,,,0.0083320502666893,-2.852160406397246,3216.038496296704,,85.21649666866138,,-14.94608953649169,val_5,val_4,val_0,val_0,val_0,0d754,,1da64,cfcb8,39575,,0.36336103
,,-884.8252768092611,0.0049835240853865,7.842904875469641,-1704.663838979544,0.0106176669173477,45.34236631376107,,96.77041970227488,,val_2,val_2,val_2,val_1,8cf49,,1da64,8a3e2,7ef86,,-1.4228162
,,,-0.0043186753069405,14.11464110985955,1742.9364130745837,,19.611736997323547,,69.4089307404422,val_5,val_5,val_3,val_0,val_0,de4bc,f1bdb,1da64,cfcb8,7ef86,,-1.2038677
,-510.1057889470509,,0.0058464112575572,2.1559994391146096,2621.281173641009,,9.229920195602164,,-135.47277276474435,val_4,val_2,val_0,val_1,val_2,8cf49,,e62e2,8a3e2,2adde,,-0.7407306
