var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
-0.0176887020695297,,,0.0055382949697971,18.98204958661267,-3159.124540593122,,61.419455451734855,,167.6953475354795,val_0,val_0,val_3,val_1,val_2,dc12d,,e62e2,8a3e2,7ef86,
,,4268.630902897801,0.0066154211565954,16.317037427669394,1449.4104590105464,0.0678178631984762,90.31953601429711,-190.58036670571192,135.96797640012437,val_3,val_7,val_1,val_0,val_1,8cf49,,1da64,8a3e2,2adde,
,351.28279429788205,,0.0013231805258747,6.70019151126853,-584.3359129192617,,30.06335578726191,,111.4234741516502,val_2,val_4,val_2,val_1,val_1,8cf49,f1bdb,1da64,8a3e2,2ea90,
,,5323.507044778861,0.0120827387454353,9.846404778453108,1075.3703509589316,-0.0108858453297209,101.1509707259517,-10.58865337459645,122.0691042225071,val_1,val_6,val_3,val_0,val_2,8cf49,,d73de,8a3e2,d34b0,548bc
,89.60779897653924,-309.54652442139457,0.0050706437703653,16.534013123274,-153.92775193451212,-0.1221172920953255,74.5394777406787,,7.584768808026518,,val_3,val_2,val_1,val_1,8cf49,4c8db,e62e2,2fa6e,d34b0,
,241.93616194612224,,-0.000736099280782,7.515339542693464,-92.62471503638557,0.1042158141098879,71.1923024681342,,90.37079917877882,val_4,val_3,val_2,val_1,val_0,de4bc,,1da64,2fa6e,2ea90,
0.1360072325947869,,434.8150722823951,-0.0035508092791941,23.231877421776403,3867.660369001524,,-37.62609113747548,,94.952888910827,val_1,val_4,val_2,val_3,val_0,dc12d,,d73de,2fa6e,2ea90,548bc
,,,0.0096269374253563,-20.718954698665847,-3090.899915817599,,16.740953737923256,,-128.48518993085537,val_2,val_6,val_2,val_1,val_2,571c0,,e62e2,2fa6e,d34b0,548bc
,-590.0917339405421,,0.0104650609551777,20.915381186633127,2232.5817627522097,,44.48762242900204,9.88881625512836,146.29902383328022,,val_5,val_3,,val_2,8cf49,f1bdb,d73de,2fa6e,2ea90,548bc
,,,0.00498637014041,-13.160371164049932,3407.460110264832,-0.0882042167947121,49.15872284364286,,-129.5989100753409,val_2,val_4,val_1,val_2,val_2,0e536,,e62e2,cfcb8,d34b0,
